symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768815600000,3208.42000000,3209.08000000,3205.54000000,3207.62000000,275.08010000,1768815899999,882297.30795000,10889,112.93820000,362256.49151800,0
ETHUSDT,1768815900000,3207.62000000,3211.51000000,3207.62000000,3211.50000000,356.87990000,1768816199999,1145517.02338100,8537,268.78060000,862676.86189100,0
ETHUSDT,1768816200000,3211.51000000,3211.51000000,3207.60000000,3208.51000000,549.95360000,1768816499999,1764974.62924400,9358,122.94370000,394534.84091500,0
ETHUSDT,1768816500000,3208.52000000,3209.47000000,3207.04000000,3209.46000000,262.40300000,1768816799999,841886.43270600,6909,115.43860000,370353.10465900,0
ETHUSDT,1768816800000,3209.46000000,3209.46000000,3205.52000000,3207.56000000,710.81630000,1768817099999,2279730.88335600,9988,135.50930000,434633.74646400,0
ETHUSDT,1768817100000,3207.56000000,3208.65000000,3205.84000000,3206.50000000,419.18800000,1768817399999,1344484.87092800,11220,161.74060000,518810.77188700,0
ETHUSDT,1768817400000,3206.50000000,3210.54000000,3206.49000000,3209.98000000,562.84690000,1768817699999,1806066.79670700,6049,455.77180000,1462459.20467800,0
ETHUSDT,1768817700000,3209.98000000,3214.56000000,3209.98000000,3214.54000000,827.47240000,1768817999999,2658113.04983400,8238,632.90300000,2033045.79765100,0
ETHUSDT,1768818000000,3214.53000000,3215.98000000,3212.72000000,3214.63000000,1072.62810000,1768818299999,3448164.97054700,9497,737.50150000,2370967.62985100,0
ETHUSDT,1768818300000,3214.64000000,3214.64000000,3210.10000000,3210.78000000,415.63270000,1768818599999,1334996.51267100,7499,120.56570000,387200.71892000,0
ETHUSDT,1768818600000,3210.78000000,3211.01000000,3209.01000000,3209.81000000,490.39120000,1768818899999,1574092.66075100,5998,234.04490000,751210.04362400,0
ETHUSDT,1768818900000,3209.81000000,3211.52000000,3208.40000000,3209.62000000,371.47300000,1768819199999,1192226.88103400,8499,157.85310000,506591.23514100,0
ETHUSDT,1768819200000,3209.62000000,3212.73000000,3209.43000000,3212.06000000,1347.37370000,1768819499999,4326739.34913500,7373,744.79830000,2391720.42003800,0
ETHUSDT,1768819500000,3212.05000000,3216.43000000,3210.88000000,3212.00000000,2754.16810000,1768819799999,8852089.71455600,11409,1472.77120000,4733284.07774000,0
ETHUSDT,1768819800000,3212.00000000,3215.00000000,3212.00000000,3214.08000000,426.70420000,1768820099999,1371553.66035600,6520,155.04260000,498342.06071000,0
ETHUSDT,1768820100000,3214.09000000,3216.58000000,3214.09000000,3215.47000000,1764.31880000,1768820399999,5672818.34960300,8512,1349.56120000,4339181.51603400,0
ETHUSDT,1768820400000,3215.48000000,3216.58000000,3213.36000000,3213.95000000,615.92400000,1768820699999,1980314.80904900,9247,380.21600000,1222509.62485100,0
ETHUSDT,1768820700000,3213.95000000,3218.61000000,3213.40000000,3218.45000000,3094.94030000,1768820999999,9953935.80313300,8524,2658.86720000,8551741.03294300,0
ETHUSDT,1768821000000,3218.45000000,3219.16000000,3215.54000000,3217.88000000,1113.50810000,1768821299999,3583427.00238700,7725,809.21290000,2604217.20123500,0
ETHUSDT,1768821300000,3217.89000000,3223.08000000,3216.00000000,3216.18000000,3574.99260000,1768821599999,11512263.97813600,13216,2474.19680000,7967923.15910200,0
ETHUSDT,1768821600000,3216.18000000,3225.00000000,3216.09000000,3223.75000000,1701.48670000,1768821899999,5481323.02403200,12830,1231.78840000,3967708.56980300,0
ETHUSDT,1768821900000,3223.75000000,3230.24000000,3222.10000000,3225.68000000,4463.08410000,1768822199999,14397985.77321200,22277,2459.00740000,7931670.84059700,0
ETHUSDT,1768822200000,3225.68000000,3227.67000000,3224.16000000,3225.68000000,2231.52960000,1768822499999,7199424.42054500,15317,1705.70860000,5503040.22073200,0
ETHUSDT,1768822500000,3225.68000000,3229.62000000,3225.68000000,3229.14000000,2843.29860000,1768822799999,9177876.17084600,12962,2243.43140000,7241331.98318400,0
ETHUSDT,1768822800000,3229.13000000,3229.66000000,3226.09000000,3226.88000000,1069.54240000,1768823099999,3451973.64041700,10077,411.21750000,1327301.34448100,0
ETHUSDT,1768823100000,3226.87000000,3231.27000000,3224.55000000,3225.63000000,3099.40270000,1768823399999,10003196.26479600,17026,2167.12730000,6994155.50245400,0
ETHUSDT,1768823400000,3225.63000000,3226.85000000,3220.91000000,3222.02000000,2493.03920000,1768823699999,8038530.48620800,15055,1522.14170000,4908518.33266900,0
ETHUSDT,1768823700000,3222.02000000,3224.61000000,3221.71000000,3223.91000000,2298.70810000,1768823999999,7410065.57894000,8070,1721.36100000,5548944.21346600,0
ETHUSDT,1768824000000,3223.91000000,3224.68000000,3219.48000000,3219.78000000,1298.81090000,1768824299999,4184710.59362500,16203,410.56890000,1322875.92967900,0
ETHUSDT,1768824300000,3219.78000000,3225.38000000,3219.78000000,3225.11000000,2113.10670000,1768824599999,6810302.99781800,10780,1570.48570000,5061639.45561700,0
ETHUSDT,1768824600000,3225.11000000,3227.00000000,3221.94000000,3223.12000000,1546.23260000,1768824899999,4985527.25754200,11314,954.33140000,3077170.09477000,0
ETHUSDT,1768824900000,3223.11000000,3227.17000000,3222.33000000,3227.14000000,1497.25530000,1768825199999,4828813.73243700,10894,1170.24230000,3774398.37065900,0
ETHUSDT,1768825200000,3227.15000000,3227.15000000,3224.28000000,3225.33000000,695.66400000,1768825499999,2243910.29786000,10211,458.92020000,1480191.99627000,0
ETHUSDT,1768825500000,3225.34000000,3227.57000000,3224.04000000,3227.57000000,1724.17010000,1768825799999,5561582.14182500,10444,1410.31260000,4549177.52607700,0
ETHUSDT,1768825800000,3227.56000000,3233.05000000,3227.56000000,3232.11000000,2384.86900000,1768826099999,7703174.26856500,14985,1856.90180000,5997693.52598100,0
ETHUSDT,1768826100000,3232.12000000,3236.26000000,3229.40000000,3231.87000000,2782.82350000,1768826399999,8997992.85113400,19745,1760.77660000,5693726.54989800,0
ETHUSDT,1768826400000,3231.87000000,3233.82000000,3228.91000000,3229.52000000,744.75280000,1768826699999,2406487.12206600,9120,291.58490000,942274.18229600,0
ETHUSDT,1768826700000,3229.51000000,3230.92000000,3226.86000000,3226.98000000,826.85700000,1768826999999,2669669.24777400,8236,265.96770000,858795.33240900,0
ETHUSDT,1768827000000,3226.99000000,3228.39000000,3224.04000000,3225.79000000,825.61530000,1768827299999,2663154.80734000,9876,225.24370000,726580.08431200,0
ETHUSDT,1768827300000,3225.79000000,3226.08000000,3222.00000000,3225.10000000,829.35810000,1768827599999,2673808.10431000,8442,225.73210000,727708.88191000,0
ETHUSDT,1768827600000,3225.11000000,3225.11000000,3222.31000000,3222.57000000,220.08780000,1768827899999,709446.86205600,4493,84.14100000,271215.62654500,0
ETHUSDT,1768827900000,3222.56000000,3224.29000000,3219.94000000,3224.28000000,783.61050000,1768828199999,2524514.62890600,10195,274.61550000,884825.07192100,0
ETHUSDT,1768828200000,3224.29000000,3225.12000000,3221.74000000,3222.02000000,289.47630000,1768828499999,933197.24144100,7032,126.17050000,406750.03990800,0
ETHUSDT,1768828500000,3222.02000000,3223.46000000,3218.56000000,3219.23000000,515.20800000,1768828799999,1659068.55181200,12077,271.64430000,874758.09304900,0
ETHUSDT,1768828800000,3219.24000000,3219.74000000,3213.09000000,3216.31000000,1332.05060000,1768829099999,4284115.03743700,21446,506.60830000,1629306.42568600,0
ETHUSDT,1768829100000,3216.31000000,3218.62000000,3214.89000000,3215.16000000,509.24990000,1768829399999,1637830.51781700,11209,248.80460000,800118.29543800,0
ETHUSDT,1768829400000,3215.16000000,3217.44000000,3214.70000000,3216.90000000,357.31300000,1768829699999,1149236.39864300,7697,186.96480000,601324.94593200,0
ETHUSDT,1768829700000,3216.90000000,3219.63000000,3215.97000000,3219.63000000,243.17950000,1768829999999,782420.50214400,7637,166.91270000,537056.34455600,0
ETHUSDT,1768830000000,3219.62000000,3221.19000000,3219.24000000,3220.37000000,434.28110000,1768830299999,1398538.66418600,9486,231.21150000,744593.57612000,0
ETHUSDT,1768830300000,3220.38000000,3221.74000000,3218.17000000,3218.20000000,389.98820000,1768830599999,1255906.19466900,8530,169.57090000,546109.92876200,0
ETHUSDT,1768830600000,3218.20000000,3219.60000000,3217.46000000,3219.09000000,259.25190000,1768830899999,834442.28352000,6012,98.24830000,316219.97769100,0
ETHUSDT,1768830900000,3219.10000000,3219.56000000,3217.74000000,3218.27000000,434.01180000,1768831199999,1396915.34985200,5766,198.80320000,639799.13616600,0
ETHUSDT,1768831200000,3218.27000000,3219.72000000,3215.51000000,3216.79000000,676.84880000,1768831499999,2177967.04873700,16145,259.88660000,836220.16249100,0
ETHUSDT,1768831500000,3216.79000000,3217.02000000,3202.85000000,3209.66000000,2522.41510000,1768831799999,8095441.54168300,25533,830.07520000,2663804.40973500,0
ETHUSDT,1768831800000,3209.66000000,3212.73000000,3209.45000000,3212.07000000,1104.87210000,1768832099999,3548213.90783200,15429,504.69490000,1620788.17427700,0
ETHUSDT,1768832100000,3212.07000000,3213.53000000,3210.34000000,3213.17000000,661.29310000,1768832399999,2124289.43383600,14435,180.22990000,578947.02348000,0
ETHUSDT,1768832400000,3213.16000000,3215.69000000,3210.80000000,3210.80000000,755.76000000,1768832699999,2428810.73520200,14496,284.10840000,913107.50554600,0
ETHUSDT,1768832700000,3210.80000000,3210.80000000,3208.16000000,3209.33000000,596.61760000,1768832999999,1914676.44018900,13311,173.00230000,555186.83556600,0
ETHUSDT,1768833000000,3209.32000000,3215.60000000,3209.32000000,3212.85000000,864.58760000,1768833299999,2777537.65023400,15100,390.21330000,1253745.12600500,0
ETHUSDT,1768833300000,3212.85000000,3213.00000000,3206.14000000,3208.30000000,912.04130000,1768833599999,2926613.93804300,14064,155.41340000,498663.66116300,0
